"ipm_id"	"env_variable"	"vr_expr_name"	"range"	"kernel_id"	"drop_levels"
"bbbb56"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb57"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb58"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb59"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb60"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb61"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb62"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb63"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb64"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb65"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb66"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb67"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb68"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb69"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"bbbb70"	"year"	"yr"	"2012:2013"	"K_yr;P_yr;F_yr; C_yr"	NA
"ccccc2"	"altitude"	"altitude"	"c(1400, 1750, 1950, 2200)"	"P_altitude_comunity; F_altitude_community"	NA
"ccccc2"	"community"	"community"	"c(\"current\", \"novel\")"	"P_altitude_comunity; F_altitude_community"	NA
"ccccc3"	"altitude"	"altitude"	"c(1400, 1750, 1950, 2200)"	"P_altitude_comunity; F_altitude_community"	NA
"ccccc3"	"community"	"community"	"c(\"current\", \"novel\")"	"P_altitude_comunity; F_altitude_community"	NA
"ccccc4"	"altitude"	"altitude"	"c(1400, 1750, 1950, 2200)"	"P_altitude_comunity; F_altitude_community"	NA
"ccccc4"	"community"	"community"	"c(\"current\", \"novel\")"	"P_altitude_comunity; F_altitude_community"	NA
"ccccc5"	"altitude"	"altitude"	"c(1400, 1750, 1950, 2200)"	"P_altitude_comunity; F_altitude_community"	NA
"ccccc5"	"community"	"community"	"c(\"current\", \"novel\")"	"P_altitude_comunity; F_altitude_community"	NA
"ddddd1"	"Lambda Scenario"	"LS"	"c(\"x\", \"y\")"	"F_LS"	NA
"ddddd2"	"Lambda Scenario"	"LS"	"c(\"x\", \"y\", \"z\")"	"F_LS"	NA
"ddddd9"	"Season"	"sn"	"c(1, 2)"	"P_sn; F_sn"	NA
"dddd22"	"drainage"	"dz"	"c(\"aripo\", \"guanapo\")"	"P_dz_tz; F_dz_tz"	NA
"dddd22"	"treatment"	"tz"	"c(\"LPLD\", \"LPHD\", \"HPLD\", \"HPHD\")"	"P_dz_tz; F_dz_tz"	NA
"dddd23"	"huricane strength"	"hur"	"c(\"no\")"	"P_hur; F_hur"	NA
NA	NA	NA	"c(\"no\", \"weak\",  \"strong\")"	NA	NA
"dddd25"	"study year"	"yr"	"c(\"1969\", \"2007\")"	"P_yr"	NA
