"ipm_id","demographic_parameter","formula","model_type","kernel_id"
"aaaa17","Fecundity","p_rep_yr = exp(cfp1 +cfp2 * size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett +crpr_yr)/(1+exp(cfp1 + cfp2* size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett + crpr_yr))","Evaluated","F_yr"
"aaaa18","Survival","s_yr = exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr)/(1+exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr))","Evaluated","P_yr"
"aaaa18","Growth","g_yr = exp(-fac2_yr) / fac1","Evaluated","P_yr"
"aaaa18","Growth","fac2_yr = ((size_2 - mux_yr)^2)/(2*sigmax2_2)","Evaluated","P_yr"
"aaaa18","Growth","mux_yr = cfg1 + cfg2*size_1 + cfg3*expp + cfg4*wett + cfg5 * size_1 * expp + cfg6 * size_1 * wett + cfg7 * expp * wett + cfg8 * size_1 * expp * wett + crp_yr","Evaluated","P_yr"
"aaaa18","Growth","sigmax2 = cfv1 + cfv2*size_1","Evaluated","P_yr"
"aaaa18","Growth","sigmax2_2 = ifelse(sigmax2 < 0, 0.01, sigmax2)","Evaluated","P_yr"
"aaaa18","Growth","fac1 = sqrt(2*pi)*sigmax","Evaluated","P_yr"
"aaaa18","Growth","sigmax = sqrt(sigmax2_2)","Evaluated","P_yr"
"aaaa18","Fecundity","recr_size = Norm(rcsz_mu, rcsz_sd)","Substituted","Y"
"aaaa18","Fecundity","f_yr = (nseed * fec_yr*p_rep_yr)/(sum(fec_yr*p_rep_yr))","Evaluated","F_yr"
"aaaa18","Fecundity","fec_yr = exp( cfr1 +cfr2 * size_1 + cfr3 * expp + cfr4 * wett + cfr5 * size_1 * expp + cfr6 * size_1 * wett + cfr7 * expp*wett +cfr8 * size_1 * expp * wett + crr_yr)","Evaluated","F_yr"
"aaaa18","Fecundity","p_rep_yr = exp(cfp1 +cfp2 * size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett +crpr_yr)/(1+exp(cfp1 + cfp2* size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett + crpr_yr))","Evaluated","F_yr"
"aaaa19","Survival","s_yr = exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr)/(1+exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr))","Evaluated","P_yr"
"aaaa19","Growth","g_yr = exp(-fac2_yr) / fac1","Evaluated","P_yr"
"aaaa19","Growth","fac2_yr = ((size_2 - mux_yr)^2)/(2*sigmax2_2)","Evaluated","P_yr"
"aaaa19","Growth","mux_yr = cfg1 + cfg2*size_1 + cfg3*expp + cfg4*wett + cfg5 * size_1 * expp + cfg6 * size_1 * wett + cfg7 * expp * wett + cfg8 * size_1 * expp * wett + crp_yr","Evaluated","P_yr"
"aaaa19","Growth","sigmax2 = cfv1 + cfv2*size_1","Evaluated","P_yr"
"aaaa19","Growth","sigmax2_2 = ifelse(sigmax2 < 0, 0.01, sigmax2)","Evaluated","P_yr"
"aaaa19","Growth","fac1 = sqrt(2*pi)*sigmax","Evaluated","P_yr"
"aaaa19","Growth","sigmax = sqrt(sigmax2_2)","Evaluated","P_yr"
"aaaa19","Fecundity","recr_size = Norm(rcsz_mu, rcsz_sd)","Substituted","Y"
"aaaa19","Fecundity","f_yr = (nseed * fec_yr*p_rep_yr)/(sum(fec_yr*p_rep_yr))","Evaluated","F_yr"
"aaaa19","Fecundity","fec_yr = exp( cfr1 +cfr2 * size_1 + cfr3 * expp + cfr4 * wett + cfr5 * size_1 * expp + cfr6 * size_1 * wett + cfr7 * expp*wett +cfr8 * size_1 * expp * wett + crr_yr)","Evaluated","F_yr"
"aaaa19","Fecundity","p_rep_yr = exp(cfp1 +cfp2 * size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett +crpr_yr)/(1+exp(cfp1 + cfp2* size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett + crpr_yr))","Evaluated","F_yr"
"aaaa20","Survival","s_yr = exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr)/(1+exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr))","Evaluated","P_yr"
"aaaa20","Growth","g_yr = exp(-fac2_yr) / fac1","Evaluated","P_yr"
"aaaa20","Growth","fac2_yr = ((size_2 - mux_yr)^2)/(2*sigmax2_2)","Evaluated","P_yr"
"aaaa20","Growth","mux_yr = cfg1 + cfg2*size_1 + cfg3*expp + cfg4*wett + cfg5 * size_1 * expp + cfg6 * size_1 * wett + cfg7 * expp * wett + cfg8 * size_1 * expp * wett + crp_yr","Evaluated","P_yr"
"aaaa20","Growth","sigmax2 = cfv1 + cfv2*size_1","Evaluated","P_yr"
"aaaa20","Growth","sigmax2_2 = ifelse(sigmax2 < 0, 0.01, sigmax2)","Evaluated","P_yr"
"aaaa20","Growth","fac1 = sqrt(2*pi)*sigmax","Evaluated","P_yr"
"aaaa20","Growth","sigmax = sqrt(sigmax2_2)","Evaluated","P_yr"
"aaaa20","Fecundity","f_yr = (nseed * fec_yr*p_rep_yr)/(sum(fec_yr*p_rep_yr))","Evaluated","F_yr"
"aaaa20","Fecundity","recr_size = Norm(rcsz_mu, rcsz_sd)","Substituted","Y"
"aaaa20","Fecundity","fec_yr = exp( cfr1 +cfr2 * size_1 + cfr3 * expp + cfr4 * wett + cfr5 * size_1 * expp + cfr6 * size_1 * wett + cfr7 * expp*wett +cfr8 * size_1 * expp * wett + crr_yr)","Evaluated","F_yr"
"aaaa20","Fecundity","p_rep_yr = exp(cfp1 +cfp2 * size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett +crpr_yr)/(1+exp(cfp1 + cfp2* size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett + crpr_yr))","Evaluated","F_yr"
"aaaa24","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1)))","Evaluated","P_le"
"aaaa24","Growth","g_le =  Norm( g_mean_le ,  sqrt(g_var))","Substituted","P_le"
"aaaa24","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa24","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa24","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa24","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa24","Biggest","goBG_le = 1 - pnorm(log(2000), g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa25","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1)))","Evaluated","P_le"
"aaaa25","Growth","g_le =  Norm( g_mean_le , sqrt(g_var))","Substituted","P_le"
"aaaa25","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa25","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa25","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa25","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa25","Biggest","goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa26","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))","Evaluated","P_le"
"aaaa26","Growth","g_le =  Norm( g_mean_le ,  sqrt(g_var))","Substituted","P_le"
"aaaa26","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa26","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa26","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa26","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa26","Biggest","goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa27","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))","Evaluated","P_le"
"aaaa27","Growth","g_le =  Norm( g_mean_le ,  sqrt(g_var))","Substituted","P_le"
"aaaa27","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa27","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa27","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa27","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa27","Biggest","goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa28","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))","Evaluated","P_le"
"aaaa28","Growth","g_le =  Norm( g_mean_le ,  sqrt(g_var))","Substituted","P_le"
"aaaa28","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa28","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa28","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa28","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa28","Biggest","goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa29","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))","Evaluated","P_le"
"aaaa29","Growth","g_le =  Norm( g_mean_le ,  sqrt(g_var))","Substituted","P_le"
"aaaa29","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa29","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa29","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa29","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa29","Biggest","goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa30","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))","Evaluated","P_le"
"aaaa30","Growth","g_le =  Norm( g_mean_le ,  sqrt(g_var))","Substituted","P_le"
"aaaa30","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa30","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa30","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa30","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa30","Biggest","goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa31","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))","Evaluated","P_le"
"aaaa31","Growth","g_le =  Norm( g_mean_le ,  sqrt(g_var))","Substituted","P_le"
"aaaa31","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa31","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa31","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa31","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa31","Biggest","goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa32","Survival","s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))","Evaluated","P_le"
"aaaa32","Growth","g_le =  Norm( g_mean_le ,  sqrt(g_var))","Substituted","P_le"
"aaaa32","Growth","g_mean_le = gi_le + gs_le * size_1","Evaluated","P_le; inBG_le"
"aaaa32","Growth","g_var1 = g_phi * exp( - g_gamma *  g_mean_le)","Evaluated","P_le; inBG_le"
"aaaa32","Growth","g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)","Evaluated","P_le; inBG_le"
"aaaa32","Biggest","sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))","Evaluated","P_le; stayBG_le"
"aaaa32","Biggest","goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))","Evaluated","inBG_le"
"aaaa35","Survival","s = 1/(1+exp(-(s_b + s_m * lnsize_1)))","Evaluated","P"
"aaaa35","Growth","g = Norm(g_mean, g_var)","Substituted","P"
"aaaa35","Growth","g_mean = g_b + g_m * lnsize_1","Evaluated","P"
"aaaa35","Growth","g_var = sqrt(gv_b + gv_m * lnsize_1)","Evaluated","P"
"aaaa35","Fecundity","r = 1/(1+exp(-(r_b + r_m * lnsize_1)))","Evaluated","F"
"aaaa35","Fecundity","fn = exp(fn_b + fn_m * lnsize_1)","Evaluated","F"
"aaaa35","Fecundity","d = Expo(1/d_mean)","Substituted","F"
"aaaa36","Survival","s = 1/(1+exp(-(s_b + s_m * lnsize_1)))","Evaluated","P"
"aaaa36","Growth","g = Norm(g_mean, g_var)","Substituted","P"
"aaaa36","Growth","g_mean = g_b + g_m * lnsize_1","Evaluated","P"
"aaaa36","Growth","g_var = sqrt(gv_b + gv_m * lnsize_1)","Evaluated","P"
"aaaa36","Fecundity","r = 1/(1+exp(-(r_b + r_m * lnsize_1)))","Evaluated","F"
"aaaa36","Fecundity","fn = exp(fn_b + fn_m * lnsize_1)","Evaluated","F"
"aaaa36","Fecundity","d = Expo(1/d_mean)","Substituted","F"
"aaaa37","Survival","s = 1/(1+exp(-(s_b + s_m * lnsize_1)))","Evaluated","P"
"aaaa37","Growth","g = Norm(g_mean, g_var)","Substituted","P"
"aaaa37","Growth","g_mean = g_b + g_m * lnsize_1","Evaluated","P"
"aaaa37","Growth","g_var = sqrt(gv_b + gv_m * lnsize_1)","Evaluated","P"
"aaaa37","Fecundity","r = 1/(1+exp(-(r_b + r_m * lnsize_1)))","Evaluated","F"
"aaaa37","Fecundity","fn = exp(fn_b + fn_m * lnsize_1)","Evaluated","F"
"aaaa37","Fecundity","d = Expo(1/d_mean)","Substituted","F"
"aaaa38","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa38","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa38","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa38","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
"aaaa38","Fecundity","f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)","Evaluated","F_yr_pl"
"aaaa38","Fecundity","sdl_size = Norm(sdl_mean, sdl_sd)","Substituted","F_yr_pl"
"aaaa39","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa39","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa39","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa39","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
"aaaa39","Fecundity","f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)","Evaluated","F_yr_pl"
"aaaa39","Fecundity","sdl_size = Norm(sdl_mean, sdl_sd)","Substituted","F_yr_pl"
"aaaa41","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa41","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa41","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa41","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
"aaaa41","Fecundity","f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)","Evaluated","F_yr_pl"
"aaaa41","Fecundity","sdl_size = Norm(sdl_mean, sdl_sd)","Substituted","F_yr_pl"
"aaaa42","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa42","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa42","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa42","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
"aaaa42","Fecundity","f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)","Evaluated","F_yr_pl"
"aaaa42","Fecundity","sdl_size = Norm(sdl_mean, sdl_sd)","Substituted","F_yr_pl"
"aaaa43","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa43","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa43","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa43","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
"aaaa43","Fecundity","f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)","Evaluated","F_yr_pl"
"aaaa43","Fecundity","sdl_size = Norm(sdl_mean, sdl_sd)","Substituted","F_yr_pl"
"aaaa44","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa44","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa44","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa44","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
"aaaa44","Fecundity","f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)","Evaluated","F_yr_pl"
"aaaa44","Fecundity","sdl_size = Norm(sdl_mean, sdl_sd)","Substituted","F_yr_pl"
"aaaa46","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa46","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa46","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa46","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
"aaaa46","Fecundity","f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)","Evaluated","F_yr_pl"
"aaaa46","Fecundity","sdl_size = Norm(sdl_mean, sdl_sd)","Substituted","F_yr_pl"
"aaaa47","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa47","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa47","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa47","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
"aaaa47","Fecundity","f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)","Evaluated","F_yr_pl"
"aaaa47","Fecundity","sdl_size = Norm(sdl_mean, sdl_sd)","Substituted","F_yr_pl"
"aaaa49","Survival","s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))","Evaluated","P_yr_pl"
"aaaa49","Growth","g_yr_pl = Norm(g_mean_yr_pl, g_sd)","Substituted","P_yr_pl"
"aaaa49","Growth","g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl","Evaluated","P_yr_pl"
"aaaa49","Growth","g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1","Evaluated","P_yr_pl"
