"ipm_id"	"demographic_parameter"	"formula"	"model_type"	"kernel_id"
"aaaa17"	"Fecundity"	"fec_yr = exp( cfr1 +cfr2 * size_1 + cfr3 * expp + cfr4 * wett + cfr5 * size_1 * expp + cfr6 * size_1 * wett + cfr7 * expp*wett +cfr8 * size_1 * expp * wett + crr_yr)"	"Evaluated"	"F_yr"
"aaaa17"	"Fecundity"	"p_rep_yr = exp(cfp1 +cfp2 * size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett +crpr_yr)/(1+exp(cfp1 + cfp2* size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett + crpr_yr))"	"Evaluated"	"F_yr"
"aaaa18"	"Survival"	"s_yr = exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr)/(1+exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr))"	"Evaluated"	"P_yr"
"aaaa18"	"Growth"	"g_yr = Norm(mux_yr,  sigmax)"	"Substituted"	"P_yr"
"aaaa18"	"Growth"	"mux_yr = cfg1 + cfg2*size_1 + cfg3*expp + cfg4*wett + cfg5 * size_1 * expp + cfg6 * size_1 * wett + cfg7 * expp * wett + cfg8 * size_1 * expp * wett + crp_yr"	"Evaluated"	"P_yr"
"aaaa18"	"Growth"	"sigmax2 = cfv1 + cfv2*size_1"	"Evaluated"	"P_yr"
"aaaa18"	"Growth"	"sigmax2_2 = ifelse(sigmax2 < 0, 0.01, sigmax2)"	"Evaluated"	"P_yr"
"aaaa18"	"Growth"	"sigmax = sqrt(sigmax2_2)"	"Evaluated"	"P_yr"
"aaaa18"	"Fecundity"	"recr_size = Norm(rcsz_mu, rcsz_sd)"	"Substituted"	"Y"
"aaaa18"	"Fecundity"	"f_yr = (nseed * fec_yr*p_rep_yr)/(sum(fec_yr*p_rep_yr))"	"Evaluated"	"F_yr"
"aaaa18"	"Fecundity"	"fec_yr = exp( cfr1 +cfr2 * size_1 + cfr3 * expp + cfr4 * wett + cfr5 * size_1 * expp + cfr6 * size_1 * wett + cfr7 * expp*wett +cfr8 * size_1 * expp * wett + crr_yr)"	"Evaluated"	"F_yr"
"aaaa18"	"Fecundity"	"p_rep_yr = exp(cfp1 +cfp2 * size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett +crpr_yr)/(1+exp(cfp1 + cfp2* size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett + crpr_yr))"	"Evaluated"	"F_yr"
"aaaa19"	"Survival"	"s_yr = exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr)/(1+exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr))"	"Evaluated"	"P_yr"
"aaaa19"	"Growth"	"g_yr = Norm(mux_yr, sigmax)"	"Substituted"	"P_yr"
"aaaa19"	"Growth"	"mux_yr = cfg1 + cfg2*size_1 + cfg3*expp + cfg4*wett + cfg5 * size_1 * expp + cfg6 * size_1 * wett + cfg7 * expp * wett + cfg8 * size_1 * expp * wett + crp_yr"	"Evaluated"	"P_yr"
"aaaa19"	"Growth"	"sigmax2 = cfv1 + cfv2*size_1"	"Evaluated"	"P_yr"
"aaaa19"	"Growth"	"sigmax2_2 = ifelse(sigmax2 < 0, 0.01, sigmax2)"	"Evaluated"	"P_yr"
"aaaa19"	"Growth"	"sigmax = sqrt(sigmax2_2)"	"Evaluated"	"P_yr"
"aaaa19"	"Fecundity"	"recr_size = Norm(rcsz_mu, rcsz_sd)"	"Substituted"	"Y"
"aaaa19"	"Fecundity"	"f_yr = (nseed * fec_yr*p_rep_yr)/(sum(fec_yr*p_rep_yr))"	"Evaluated"	"F_yr"
"aaaa19"	"Fecundity"	"fec_yr = exp( cfr1 +cfr2 * size_1 + cfr3 * expp + cfr4 * wett + cfr5 * size_1 * expp + cfr6 * size_1 * wett + cfr7 * expp*wett +cfr8 * size_1 * expp * wett + crr_yr)"	"Evaluated"	"F_yr"
"aaaa19"	"Fecundity"	"p_rep_yr = exp(cfp1 +cfp2 * size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett +crpr_yr)/(1+exp(cfp1 + cfp2* size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett + crpr_yr))"	"Evaluated"	"F_yr"
"aaaa20"	"Survival"	"s_yr = exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr)/(1+exp(cfs1 + cfs2*size_1 + cfs3 * expp + cfs4*wett + cfs5*size_1*expp + cfs6*size_1*wett + cfs7*expp*wett + cfs8*size_1*expp*wett + crs_yr))"	"Evaluated"	"P_yr"
"aaaa20"	"Growth"	"g_yr = Norm(mux_yr, sigmax)"	"Substituted"	"P_yr"
"aaaa20"	"Growth"	"mux_yr = cfg1 + cfg2*size_1 + cfg3*expp + cfg4*wett + cfg5 * size_1 * expp + cfg6 * size_1 * wett + cfg7 * expp * wett + cfg8 * size_1 * expp * wett + crp_yr"	"Evaluated"	"P_yr"
"aaaa20"	"Growth"	"sigmax2 = cfv1 + cfv2*size_1"	"Evaluated"	"P_yr"
"aaaa20"	"Growth"	"sigmax2_2 = ifelse(sigmax2 < 0, 0.01, sigmax2)"	"Evaluated"	"P_yr"
"aaaa20"	"Growth"	"sigmax = sqrt(sigmax2_2)"	"Evaluated"	"P_yr"
"aaaa20"	"Fecundity"	"f_yr = (nseed * fec_yr*p_rep_yr)/(sum(fec_yr*p_rep_yr))"	"Evaluated"	"F_yr"
"aaaa20"	"Fecundity"	"recr_size = Norm(rcsz_mu, rcsz_sd)"	"Substituted"	"Y"
"aaaa20"	"Fecundity"	"fec_yr = exp( cfr1 +cfr2 * size_1 + cfr3 * expp + cfr4 * wett + cfr5 * size_1 * expp + cfr6 * size_1 * wett + cfr7 * expp*wett +cfr8 * size_1 * expp * wett + crr_yr)"	"Evaluated"	"F_yr"
"aaaa20"	"Fecundity"	"p_rep_yr = exp(cfp1 +cfp2 * size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett +crpr_yr)/(1+exp(cfp1 + cfp2* size_1 + cfp3 * expp + cfp4 * wett + cfp5 * size_1 * expp + cfp6 * size_1 * wett + cfp7 * expp * wett + cfp8 * size_1 * expp * wett + crpr_yr))"	"Evaluated"	"F_yr"
"aaaa21"	"Survival"	"s_lin_hstSp_clone  = s_i + s_s1 * size_1 + s_s2 * size_1^2 + s_hst * hstSp + s_cl * clone + s_r * rain + s_s_hst * size_1 * hstSp + s_hst_cl * hstSp * clone + s_cl_r * clone * rain"	"Evaluated"	"P_hstSp_clone; F_hstSp_clone; C_hstSp_clone"
"aaaa21"	"Survival"	"s_hstSp_clone = 1 / (1 + exp(-s_lin_hstSp_clone))"	"Evaluated"	"P_hstSp_clone; F_hstSp_clone; C_hstSp_clone"
"aaaa21"	"Growth"	"g_hstSp_clone  = Norm(g_mean_hstSp_clone, g_sd)"	"Substituted"	"P_hstSp_clone"
"aaaa21"	"Growth"	"g_mean_hstSp_clone = g_i + g_s * size_1 + g_hst * hstSp + g_cl * clone + g_s_hst * size_1 * hstSp + g_s_cl * size_1 * clone + g_r * rain"	"Evaluated"	"P_hstSp_clone"
"aaaa21"	"Growth"	"g_sd = sqrt(g_1 * exp(-g_2*size_1))"	"Evaluated"	"P_hstSp_clone"
"aaaa21"	"Fecundity"	"f_n_hstSp = ifelse( size_1 < log(8), 0, fn_hstSp)"	"Evaluated"	"F_hstSp_clone"
"aaaa21"	"Fecundity"	"fn_est = exp(fn_i + fn_s * size_1)"	"Evaluated"	"F_hstSp_clone"
"aaaa21"	"Fecundity"	"fp_est_hstSp = 1 / (1 + exp(- (fp_i + fp_hst * hstSp)))"	"Evaluated"	"F_hstSp_clone"
"aaaa21"	"Fecundity"	"fn_hstSp =  fp_est_hstSp * fn_est"	"Evaluated"	"F_hstSp_clone"
"aaaa21"	"Fecundity"	"fd = Norm(fd_mean, fd_var)"	"Substituted"	"F_hstSp_clone"
"aaaa21"	"Clone"	"f_c_hstSp_clone  = ifelse(size_1 < log(8), 0, f_c_prob_hstSp_clone )"	"Evaluated"	"C_hstSp_clone"
"aaaa21"	"Clone"	"f_c_prob_hstSp_clone = 1 / (1 + exp(-f_c1_lin_hstSp_clone))"	"Evaluated"	"C_hstSp_clone"
"aaaa21"	"Clone"	"f_c1_lin_hstSp_clone = f_c_i + f_c_s * size_1 + f_c_hst *hstSp + f_c_cl * clone + f_c_r * rain + f_c_s_r * size_1 * rain + f_c_s_cl * size_1 * clone + f_c_r_hst * rain * hstSp"	"Evaluated"	"C_hstSp_clone"
"aaaa21"	"Clone"	"cd_hstSp = Norm(cd_mean_hstSp, cd_var_hstSp)"	"Substituted"	"C_hstSp_clone"
"aaaa23"	"Survival"	"s_yr = 1/(1+exp(-(surv_con + surv_s * size_1 + surv_effect_yr)))"	"Evaluated"	"P_yr"
"aaaa23"	"Growth"	"g_yr = Norm(g_m_yr, g_var)"	"Substituted"	"P_yr"
"aaaa23"	"Growth"	"g_m_yr = g_con + g_s * size_1 + g_s2 * size_1^2 + g_effect_yr"	"Evaluated"	"P_yr"
"aaaa23"	"Growth"	"g_var = sqrt(g_var_con + g_var_s * size_1)"	"Evaluated"	"P_yr"
"aaaa23"	"Fecundity"	"pf = 1/(1 + exp (- (pf_con + pf_s * size_1)))"	"Evaluated"	"F_yr"
"aaaa23"	"Fecundity"	"flr = exp(flr_con + flr_s * size_1 )"	"Evaluated"	"F_yr"
"aaaa23"	"Fecundity"	"rsize = c( rep(0.7344, 45), rep(0.203125, 45), rep(0.015625,45), rep(0.015625, 45),rep(0.015625, 45), rep( 0,45), rep(0.015625,45), rep(0, 45 * 38))"	"Evaluated"	"F_yr"
"aaaa24"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1)))"	"Evaluated"	"P_le"
"aaaa24"	"Growth"	"g_le =  Norm( g_mean_le ,  sqrt(g_var))"	"Substituted"	"P_le"
"aaaa24"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa24"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa24"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa24"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa24"	"Biggest"	"goBG_le = 1 - pnorm(log(2000), g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa25"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1)))"	"Evaluated"	"P_le"
"aaaa25"	"Growth"	"g_le =  Norm( g_mean_le , sqrt(g_var))"	"Substituted"	"P_le"
"aaaa25"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa25"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa25"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa25"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa25"	"Biggest"	"goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa26"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))"	"Evaluated"	"P_le"
"aaaa26"	"Growth"	"g_le =  Norm( g_mean_le ,  sqrt(g_var))"	"Substituted"	"P_le"
"aaaa26"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa26"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa26"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa26"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa26"	"Biggest"	"goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa27"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))"	"Evaluated"	"P_le"
"aaaa27"	"Growth"	"g_le =  Norm( g_mean_le ,  sqrt(g_var))"	"Substituted"	"P_le"
"aaaa27"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa27"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa27"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa27"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa27"	"Biggest"	"goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa28"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))"	"Evaluated"	"P_le"
"aaaa28"	"Growth"	"g_le =  Norm( g_mean_le ,  sqrt(g_var))"	"Substituted"	"P_le"
"aaaa28"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa28"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa28"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa28"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa28"	"Biggest"	"goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa29"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))"	"Evaluated"	"P_le"
"aaaa29"	"Growth"	"g_le =  Norm( g_mean_le ,  sqrt(g_var))"	"Substituted"	"P_le"
"aaaa29"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa29"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa29"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa29"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa29"	"Biggest"	"goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa30"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))"	"Evaluated"	"P_le"
"aaaa30"	"Growth"	"g_le =  Norm( g_mean_le ,  sqrt(g_var))"	"Substituted"	"P_le"
"aaaa30"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa30"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa30"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa30"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa30"	"Biggest"	"goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa31"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))"	"Evaluated"	"P_le"
"aaaa31"	"Growth"	"g_le =  Norm( g_mean_le ,  sqrt(g_var))"	"Substituted"	"P_le"
"aaaa31"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa31"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa31"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa31"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa31"	"Biggest"	"goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa32"	"Survival"	"s_le =  1/(1+exp(-(mi_le + ms * size_1 + mp * size_1^2)))"	"Evaluated"	"P_le"
"aaaa32"	"Growth"	"g_le =  Norm( g_mean_le ,  sqrt(g_var))"	"Substituted"	"P_le"
"aaaa32"	"Growth"	"g_mean_le = gi_le + gs_le * size_1"	"Evaluated"	"P_le; inBG_le"
"aaaa32"	"Growth"	"g_var1 = g_phi * exp( - g_gamma *  g_mean_le)"	"Evaluated"	"P_le; inBG_le"
"aaaa32"	"Growth"	"g_var = ifelse( g_var1 < 4*10^(-4),  4*10^(-4), g_var1)"	"Evaluated"	"P_le; inBG_le"
"aaaa32"	"Biggest"	"sbg_le =  1/(1+exp(-(mi_le + ms * log(2000))))"	"Evaluated"	"P_le; stayBG_le"
"aaaa32"	"Biggest"	"goBG_le = 1 - pnorm(2000, g_mean_le, sqrt(g_var))"	"Evaluated"	"inBG_le"
"aaaa34"	"Survival"	"s = 1/(1+exp(-(s_b + s_m * lnsize_1)))"	"Evaluated"	"P"
"aaaa34"	"Growth"	"g = Norm(g_mean, g_var)"	"Substituted"	"P"
"aaaa34"	"Growth"	"g_mean = g_b + g_m * lnsize_1"	"Evaluated"	"P"
"aaaa34"	"Growth"	"g_var = sqrt(gv_b + gv_m * lnsize_1)"	"Evaluated"	"P"
"aaaa34"	"Fecundity"	"r = 1/(1+exp(-(r_b + r_m * lnsize_1)))"	"Evaluated"	"F"
"aaaa34"	"Fecundity"	"fn = exp(fn_b + fn_m * lnsize_1)"	"Evaluated"	"F"
"aaaa34"	"Fecundity"	"d = Expo(1/d_mean)"	"Substituted"	"F"
"aaaa35"	"Survival"	"s = 1/(1+exp(-(s_b + s_m * lnsize_1)))"	"Evaluated"	"P"
"aaaa35"	"Growth"	"g = Norm(g_mean, g_var)"	"Substituted"	"P"
"aaaa35"	"Growth"	"g_mean = g_b + g_m * lnsize_1"	"Evaluated"	"P"
"aaaa35"	"Growth"	"g_var = sqrt(gv_b + gv_m * lnsize_1)"	"Evaluated"	"P"
"aaaa35"	"Fecundity"	"r = 1/(1+exp(-(r_b + r_m * lnsize_1)))"	"Evaluated"	"F"
"aaaa35"	"Fecundity"	"fn = exp(fn_b + fn_m * lnsize_1)"	"Evaluated"	"F"
"aaaa35"	"Fecundity"	"d = Expo(1/d_mean)"	"Substituted"	"F"
"aaaa36"	"Survival"	"s = 1/(1+exp(-(s_b + s_m * lnsize_1)))"	"Evaluated"	"P"
"aaaa36"	"Growth"	"g = Norm(g_mean, g_var)"	"Substituted"	"P"
"aaaa36"	"Growth"	"g_mean = g_b + g_m * lnsize_1"	"Evaluated"	"P"
"aaaa36"	"Growth"	"g_var = sqrt(gv_b + gv_m * lnsize_1)"	"Evaluated"	"P"
"aaaa36"	"Fecundity"	"r = 1/(1+exp(-(r_b + r_m * lnsize_1)))"	"Evaluated"	"F"
"aaaa36"	"Fecundity"	"fn = exp(fn_b + fn_m * lnsize_1)"	"Evaluated"	"F"
"aaaa36"	"Fecundity"	"d = Expo(1/d_mean)"	"Substituted"	"F"
"aaaa37"	"Survival"	"s = 1/(1+exp(-(s_b + s_m * lnsize_1)))"	"Evaluated"	"P"
"aaaa37"	"Growth"	"g = Norm(g_mean, g_var)"	"Substituted"	"P"
"aaaa37"	"Growth"	"g_mean = g_b + g_m * lnsize_1"	"Evaluated"	"P"
"aaaa37"	"Growth"	"g_var = sqrt(gv_b + gv_m * lnsize_1)"	"Evaluated"	"P"
"aaaa37"	"Fecundity"	"r = 1/(1+exp(-(r_b + r_m * lnsize_1)))"	"Evaluated"	"F"
"aaaa37"	"Fecundity"	"fn = exp(fn_b + fn_m * lnsize_1)"	"Evaluated"	"F"
"aaaa37"	"Fecundity"	"d = Expo(1/d_mean)"	"Substituted"	"F"
"aaaa38"	"Survival"	"s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))"	"Evaluated"	"P_yr_pl"
"aaaa38"	"Growth"	"g_yr_pl = Norm(g_mean_yr_pl, g_sd)"	"Substituted"	"P_yr_pl"
"aaaa38"	"Growth"	"g_mean_yr_pl = g_in + g_sl * nleaves_1 + g_yearan_yr + g_ptran_pl"	"Evaluated"	"P_yr_pl"
"aaaa38"	"Growth"	"g_sd_yr_pl = gsd_in + gsd_sl * nleaves_1"	"Evaluated"	"P_yr_pl"
"aaaa38"	"Fecundity"	"f_yr_pl = exp(f_in + f_sl * nleaves_1 + f_yearan_yr + f_ptran_pl)"	"Evaluated"	"F_yr_pl"
"aaaa38"	"Fecundity"	"sdl_size = Norm(sdl_mean, sdl_sd)"	"Substituted"	"F_yr_pl"
"aaaa39"	"Survival"	"s_yr_pl = 1/ ( 1 + exp(-(s_in + s_sl * nleaves_1 + s_yearan_yr + s_ptran_pl)))"	"Evaluated"	"P_yr_pl"
"aaaa39"	"Growth"	"g_yr_pl = Norm(g_mean_yr_pl, g_sd)"	"Substituted"	"P_yr_pl"
